client_id,date,cost,voucher,client_feedback
10055,2022-11-13,158.79,NO,
10055,2023-04-18,245.22,5PCT,
10055,2023-04-27,261.59,NO,The checkout process is streamlined; it took just a few minutes.
10055,2023-07-22,11.83,5PCT,
10055,2023-08-12,134.4,10PCT,
10055,2023-11-18,293.51,NO,
10056,2022-01-31,48.47,20PCT,
10056,2022-06-04,5.14,NO,
10056,2022-07-31,75.72,NO,
10056,2022-10-08,126.94,10PCT,
10056,2022-12-29,239.76,NO,
10056,2023-04-28,276.11,5PCT,
10056,2023-06-24,272.29,NO,
10056,2023-10-01,195.23,NO,
10056,2023-12-29,285.43,NO,
10057,2022-02-19,10.58,10PCT,
10057,2023-12-23,222.56,NO,
10058,2022-01-29,128.76,NO,
10058,2022-03-31,198.85,NO,
10058,2022-11-15,269.33,NO,
10058,2023-01-30,28.44,5PCT,
10058,2023-08-12,232.65,NO,
10059,2022-01-22,86.17,NO,
10059,2022-09-26,152.93,NO,"Received a complimentary gift with my purchase, a pleasant surprise!"
10059,2022-12-10,272.52,10PCT,
10059,2023-03-06,190.04,NO,
10059,2023-04-23,272.12,NO,
10059,2023-04-25,14.17,NO,
10059,2023-06-27,233.93,10PCT,
10059,2023-07-18,42.59,5PCT,
10060,2022-05-11,197.02,5PCT,
10060,2022-08-21,299.95,NO,
10060,2022-12-20,35.19,NO,
10060,2023-06-20,73.53,20PCT,
10060,2023-12-27,161.47,NO,"Impressive selection of products, found exactly what I was looking for."
10061,2022-02-09,59.78,5PCT,
10061,2022-04-25,181.96,NO,The hassle-free returns policy gave me confidence in my purchase.
10061,2022-09-20,127.87,NO,The mobile app is user-friendly and convenient for shopping on the go.
10061,2022-12-02,177.93,NO,
10061,2023-03-29,51.52,5PCT,The loyalty program offers fantastic perks and discounts.
10061,2023-09-27,55.25,NO,The loyalty program offers fantastic perks and discounts.
10061,2023-11-11,255.99,10PCT,
10061,2023-11-17,191.03,NO,
10061,2023-12-16,294.46,NO,
10062,2022-03-23,9.37,NO,The website's search functionality made finding specific items easy.
10062,2022-05-12,1.21,5PCT,
10062,2022-06-25,166.88,5PCT,
10062,2022-08-02,212.29,NO,
10062,2022-10-10,254.0,20PCT,
10062,2023-01-02,73.92,5PCT,
10062,2023-05-14,129.66,5PCT,
10062,2023-08-15,238.47,NO,
10062,2023-09-12,273.94,NO,
10063,2022-03-26,253.89,NO,
10063,2022-10-13,175.19,NO,
10063,2022-11-12,214.1,NO,Regular email updates on upcoming sales and promotions.
10063,2023-01-10,260.17,10PCT,
10063,2023-03-23,277.97,NO,
10063,2023-04-29,95.44,NO,
10063,2023-10-09,181.34,NO,
10063,2023-11-09,176.58,NO,The reviews were helpful in making my purchase decision.
10064,2022-11-28,117.39,5PCT,Secure and encrypted payment process; my information felt safe.
10064,2023-03-04,290.04,NO,
10065,2022-01-04,48.0,NO,Excellent packaging; my fragile items arrived intact.
10065,2022-02-16,31.91,NO,
10065,2022-08-16,171.41,20PCT,
10065,2022-10-23,26.37,NO,
10065,2023-07-25,147.74,5PCT,
10065,2023-10-21,17.1,20PCT,
10065,2023-11-27,126.7,NO,
10066,2022-02-04,122.77,5PCT,The loyalty program rewards are genuinely valuable.
10066,2022-06-02,207.86,NO,"Easy checkout process, very user-friendly."
10066,2023-03-19,99.57,NO,
10067,2022-02-20,82.26,NO,
10067,2023-05-04,126.2,NO,
10067,2023-09-29,180.86,10PCT,The website's search functionality made finding specific items easy.
10067,2023-11-22,227.86,5PCT,"Prompt response from customer support, answered my queries effectively."
10068,2022-10-08,115.89,NO,
10068,2023-07-25,118.36,5PCT,The online community and forums are a great resource for product recommendations.
10068,2023-07-30,215.64,NO,
10068,2023-09-21,17.43,5PCT,
10069,2022-04-09,58.43,NO,
10069,2022-04-15,253.68,NO,I appreciated the eco-friendly packaging choice.
10069,2022-10-27,189.7,NO,Secure and encrypted payment process; my information felt safe.
10069,2022-12-24,147.86,5PCT,
10069,2023-03-15,62.32,NO,
10069,2023-06-26,148.9,NO,
10069,2023-09-11,111.2,20PCT,
10070,2022-03-04,148.08,NO,I appreciated the eco-friendly packaging choice.
10070,2022-06-16,230.58,5PCT,
10070,2022-12-05,270.28,20PCT,"The tracking system was accurate, knew exactly when my package would arrive."
10070,2023-01-03,67.51,5PCT,
10070,2023-07-02,156.36,5PCT,Detailed product descriptions helped me make an informed choice.
10070,2023-08-31,62.4,NO,
10070,2023-12-03,127.1,NO,
10071,2022-03-20,235.83,NO,
10071,2022-07-26,96.34,10PCT,
10071,2022-11-12,59.94,NO,The website's search functionality made finding specific items easy.
10071,2023-01-15,1.91,5PCT,
10071,2023-01-17,89.79,NO,
10071,2023-04-09,74.82,20PCT,
10071,2023-04-24,175.5,10PCT,
10071,2023-09-21,270.2,NO,
10072,2022-09-18,204.31,NO,
10072,2023-01-04,177.72,10PCT,Efficient order confirmation and dispatch notifications.
10072,2023-08-12,86.79,20PCT,
10072,2023-09-27,97.07,5PCT,"Constant updates on the shipping status, appreciated the communication."
10073,2022-06-12,259.64,NO,Smooth payment process with multiple options available.
10073,2022-08-21,263.11,NO,
10073,2023-02-04,131.28,NO,
10073,2023-03-22,161.3,5PCT,Excellent packaging; my fragile items arrived intact.
10073,2023-04-24,58.83,5PCT,The checkout process is streamlined; it took just a few minutes.
10073,2023-11-19,220.33,NO,
10074,2022-02-04,89.42,NO,
10074,2022-07-25,86.31,5PCT,
10074,2022-09-22,7.7,NO,
10074,2023-01-08,262.76,NO,
10074,2023-05-02,218.87,NO,
10074,2023-10-13,133.95,NO,The online community and forums are a great resource for product recommendations.
10074,2023-10-16,134.52,NO,Smooth payment process with multiple options available.
10075,2022-06-15,171.06,NO,
10076,2022-07-14,128.74,10PCT,"Great deals during the sale, I stocked up on essentials."
10076,2023-03-25,31.94,NO,
10077,2022-09-23,218.19,NO,Secure and encrypted payment process; my information felt safe.
10077,2023-02-03,60.37,NO,
10078,2023-02-22,142.72,NO,
10078,2023-08-24,107.07,NO,
10078,2023-10-31,108.13,5PCT,"The product was exactly as described, no misleading information."
10079,2022-04-08,10.98,5PCT,The live chat feature was helpful for quick inquiries.
10079,2023-12-24,184.05,NO,
10080,2022-05-10,269.71,NO,
10080,2022-09-14,192.68,NO,
10080,2023-01-18,277.46,NO,
10080,2023-01-21,232.78,NO,Impressed with the range of payment options available.
10080,2023-10-20,24.04,20PCT,Secure and encrypted payment process; my information felt safe.
10080,2023-11-01,211.62,NO,
10080,2023-11-20,54.72,NO,
10081,2022-01-25,106.04,NO,
10081,2022-04-12,101.6,5PCT,
10081,2023-02-04,287.45,5PCT,
10081,2023-02-14,6.0,NO,
10081,2023-03-25,224.17,NO,Regular email updates on upcoming sales and promotions.
10081,2023-04-21,134.83,10PCT,Detailed FAQs on the website answered most of my questions.
10081,2023-07-22,186.4,10PCT,
10081,2023-08-07,104.15,NO,
10082,2022-12-17,163.41,10PCT,
10082,2023-12-30,142.51,NO,
10083,2022-02-24,115.96,NO,
10083,2022-10-26,212.56,5PCT,
10083,2022-12-01,171.73,5PCT,Excellent packaging; my fragile items arrived intact.
10083,2023-01-02,223.34,NO,
10083,2023-01-20,81.76,5PCT,
10083,2023-05-19,82.88,NO,The loyalty points system encourages me to keep coming back.
10083,2023-08-08,45.53,NO,
10084,2022-02-16,124.86,NO,
10084,2022-06-08,253.22,NO,"Constant updates on the shipping status, appreciated the communication."
10084,2022-09-12,182.6,20PCT,"Easy checkout process, very user-friendly."
10084,2023-01-15,31.42,NO,
10084,2023-11-15,222.42,10PCT,
10084,2023-12-12,19.04,NO,
10084,2023-12-19,6.56,NO,
10085,2022-07-28,159.7,NO,
10085,2022-08-24,256.87,5PCT,
10085,2022-09-07,183.17,NO,
10085,2022-10-22,149.48,10PCT,
10085,2022-11-30,146.1,NO,
10085,2023-06-11,12.16,NO,
10085,2023-07-10,16.96,NO,
10085,2023-07-26,181.41,NO,
10086,2022-03-31,46.83,NO,
10086,2022-11-02,70.64,10PCT,"Love the 'buy now, pay later' option, makes budgeting easier."
10086,2022-11-14,182.12,NO,
10086,2022-12-28,124.24,NO,"Discount code worked like a charm, saved me some money."
10086,2023-03-24,33.18,5PCT,The return process was hassle-free and straightforward.
10086,2023-04-09,67.35,5PCT,
10086,2023-08-23,217.62,10PCT,
10087,2022-03-01,288.76,5PCT,Smooth payment process with multiple options available.
10087,2022-05-29,120.59,5PCT,Real-time customer support chat helped me resolve a query instantly.
10087,2022-07-23,212.92,NO,Excellent packaging; my fragile items arrived intact.
10087,2022-09-02,4.94,NO,
10087,2022-10-16,227.0,NO,"The tracking system was accurate, knew exactly when my package would arrive."
10087,2023-01-16,180.48,NO,The sizing chart was spot-on; my shoes fit perfectly.
10087,2023-04-06,260.69,10PCT,
10087,2023-08-26,243.07,5PCT,
10088,2022-12-23,258.0,NO,The virtual try-on feature for glasses was surprisingly accurate.
10088,2023-07-07,266.84,20PCT,"Great deals during the sale, I stocked up on essentials."
10088,2023-10-22,89.39,NO,
10089,2022-01-20,296.63,10PCT,
10089,2022-02-28,141.5,NO,Impressive variety of payment options cater to different preferences.
10089,2022-03-11,215.73,NO,
10089,2023-03-06,96.64,20PCT,
10089,2023-03-22,110.93,NO,
10089,2023-05-29,142.36,10PCT,The website layout made finding what I needed a breeze.
10089,2023-12-25,68.15,NO,
10090,2022-01-13,185.87,$50,
10090,2022-09-03,271.6,$50,
10090,2023-08-28,220.16,NO,
10090,2023-10-18,210.51,NO,
10090,2023-12-01,274.47,NO,
10091,2022-04-02,255.59,NO,
10091,2022-04-14,220.63,NO,"No hidden fees, the total cost was transparent from the beginning."
10091,2022-05-12,229.45,NO,The loyalty program offers fantastic perks and discounts.
10091,2022-10-14,102.87,NO,
10091,2022-11-23,180.36,10PCT,The return process was hassle-free and straightforward.
10091,2022-11-29,138.69,NO,"Love the 'buy now, pay later' option, makes budgeting easier."
10091,2023-05-17,244.43,NO,The loyalty program offers fantastic perks and discounts.
10092,2022-03-31,171.87,NO,
10092,2022-08-07,84.46,NO,
10092,2022-09-26,102.67,NO,
10092,2023-05-14,80.43,NO,"Love the 'buy now, pay later' option, makes budgeting easier."
10092,2023-09-15,11.62,NO,
10092,2023-10-02,255.2,5PCT,
10093,2023-11-20,105.14,5PCT,
10094,2022-01-05,99.25,NO,
10094,2022-04-10,40.6,NO,
10094,2023-02-21,161.3,NO,The mobile app is user-friendly and convenient for shopping on the go.
10094,2023-08-30,189.9,5PCT,
10094,2023-10-20,116.5,NO,
10094,2023-10-30,97.24,NO,
10095,2022-01-10,70.64,NO,
10095,2022-01-29,279.31,10PCT,
10095,2022-02-08,76.87,NO,
10095,2022-07-07,194.57,NO,
10095,2022-08-01,197.9,5PCT,
10095,2022-12-01,75.69,10PCT,The loyalty points system encourages me to keep coming back.
10095,2023-12-26,83.61,NO,
10096,2023-02-02,286.22,5PCT,
10096,2023-02-18,108.21,5PCT,
10096,2023-05-23,211.65,NO,"Impressive selection of products, found exactly what I was looking for."
10096,2023-06-12,125.03,NO,"The packaging was eco-friendly, kudos for sustainability efforts."
10096,2023-09-11,209.42,5PCT,
10096,2023-09-13,8.59,NO,"Discount code worked like a charm, saved me some money."
10097,2022-11-16,66.77,NO,
10098,2022-10-31,87.58,NO,Excellent packaging; my fragile items arrived intact.
10098,2023-06-20,210.9,NO,Real-time customer support chat helped me resolve a query instantly.
10098,2023-07-11,74.87,NO,
10098,2023-08-14,128.93,NO,The sizing chart was spot-on; my shoes fit perfectly.
10099,2022-06-10,179.55,NO,
10099,2022-08-28,244.57,20PCT,
10100,2022-08-11,17.66,5PCT,
10100,2022-09-06,71.7,NO,
10100,2022-09-23,139.51,NO,
10100,2022-12-30,49.2,10PCT,
10100,2022-12-31,27.63,NO,
10101,2022-04-26,56.91,5PCT,
10102,2022-02-16,36.39,NO,"The packaging was eco-friendly, kudos for sustainability efforts."
10102,2022-09-19,108.05,5PCT,
10102,2022-11-05,69.52,10PCT,
10102,2023-03-16,179.66,NO,
10102,2023-03-27,111.41,NO,
10102,2023-07-02,31.88,NO,Smooth payment process with multiple options available.
10102,2023-08-10,106.4,NO,"Great customer service, resolved my issue quickly."
10102,2023-10-16,231.12,NO,
10103,2022-04-01,213.11,20PCT,Efficient order confirmation and dispatch notifications.
10103,2022-09-24,285.46,NO,
10103,2023-05-26,264.78,NO,
10104,2022-01-28,24.68,NO,"Discount code worked like a charm, saved me some money."
10104,2022-04-02,44.23,NO,
10104,2022-04-20,1.15,NO,The mobile app is user-friendly and convenient for shopping on the go.
10104,2023-01-08,140.26,20PCT,
10104,2023-07-08,134.54,NO,
10104,2023-10-14,105.37,10PCT,The loyalty program offers fantastic perks and discounts.
10104,2023-12-06,203.48,NO,
10104,2023-12-15,189.82,NO,
10105,2022-06-19,140.72,10PCT,"The tracking system was accurate, knew exactly when my package would arrive."
10105,2022-09-24,124.64,NO,The reviews were helpful in making my purchase decision.
10105,2023-03-03,231.29,20PCT,
10105,2023-09-11,171.22,NO,
10105,2023-12-04,115.73,NO,Smooth payment process with multiple options available.
10106,2023-08-13,272.63,NO,"Super fast shipping, got my order within two days!"
10106,2023-09-19,204.29,NO,"Love the 'buy now, pay later' option, makes budgeting easier."
10106,2023-12-27,206.67,NO,
10107,2022-02-03,80.8,NO,
10107,2022-02-05,206.38,NO,
10107,2022-03-30,220.41,20PCT,The reviews were helpful in making my purchase decision.
10107,2022-04-23,71.04,NO,
10107,2022-05-06,42.5,NO,
10107,2022-05-25,145.72,NO,
10107,2022-06-23,181.96,NO,
10107,2022-08-21,182.36,5PCT,
10107,2023-10-30,49.83,NO,
10108,2022-08-05,238.75,NO,
10108,2023-04-10,152.67,20PCT,
10109,2023-01-31,44.44,NO,"Impressive selection of products, found exactly what I was looking for."
10109,2023-07-01,82.9,NO,
10109,2023-07-12,238.59,NO,
10109,2023-07-22,139.52,NO,
10109,2023-07-31,206.72,NO,
10109,2023-12-04,25.2,20PCT,Regular email updates on upcoming sales and promotions.
10109,2023-12-25,40.1,5PCT,
10110,2022-03-07,282.41,NO,Efficient order confirmation and dispatch notifications.
10110,2022-06-08,166.32,NO,The online community and forums are a great resource for product recommendations.
10110,2022-07-05,267.36,NO,"The packaging was eco-friendly, kudos for sustainability efforts."
10110,2022-11-15,256.88,NO,
10110,2023-04-29,234.79,10PCT,
10110,2023-06-13,39.73,NO,
10110,2023-06-29,68.16,NO,
10110,2023-08-17,79.49,NO,
10110,2023-09-10,127.39,5PCT,
